t=10       Z=-1.549194546181 Im(Z)=-5.04e-51 N0=1
   N=1    S=-1.994449598477 err=4.453e-01
   N=2    S=-3.182193177390 err=1.633e+00
   N=3    S=-3.085347270092 err=1.536e+00
   N=6    S=-3.012482918020 err=1.463e+00
t=100      Z=2.692697056664 Im(Z)=1.74e-49 N0=3
   N=3    S=2.239451082121 err=4.532e-01
   N=4    S=3.163678725585 err=4.710e-01
   N=5    S=2.488299854622 err=2.044e-01
   N=8    S=3.004232514789 err=3.115e-01
t=1000     Z=0.997794637522 Im(Z)=4.02e-49 N0=12
   N=12   S=1.112105016719 err=1.143e-01
   N=13   S=0.632451718368 err=3.653e-01
   N=14   S=0.762458316206 err=2.353e-01
   N=17   S=0.831811646947 err=1.660e-01
t=10000    Z=-0.341394724231 Im(Z)=-1.92e-48 N0=39
   N=39   S=-0.452253025080 err=1.109e-01
   N=40   S=-0.152324502092 err=1.891e-01
   N=41   S=-0.337241533958 err=4.153e-03
   N=44   S=-0.267109369459 err=7.429e-02
t=100000   Z=5.879592468682 Im(Z)=-4.27e-47 N0=126
   N=126  S=5.934459819230 err=5.487e-02
   N=127  S=6.041282302751 err=1.617e-01
   N=128  S=5.966863503063 err=8.727e-02
   N=131  S=5.494738784344 err=3.849e-01
